Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date
OYO 37359 Hotel Shiv Villa,"₹ 1,099",Maninagar | 12.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 271 Off,2.8,,10.0,31%,"['Air Conditioning', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
HOTEL RAJVANSHI,₹ 940,Bodakdev | 770 m from Zodiac Square,Exclusive Offer - HDFC Credit Card Users. Get INR 239 Off,4.0, (Very Good),11.0,16%,"['Free Parking', 'ATM', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Stay Inn,₹ 810,Changodar | 22.3 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 688 Off,3.7, (Good),15.0,51%,"['Free Parking', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Shobhna Palace,"₹ 1,015",Navrangpura | 9.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 258 Off,3.0, (Good),11.0,6%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Home Sweet Home,"₹ 1,598",Sabarmati | 9.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 408 Off,4.3, (Very Good),3.0,26%,"['Kitchenette', 'Caretaker', 'Living Room']",Ahmedabad,9-8-2021,11-8-2021
OYO 10129 Hotel Stay INN,"₹ 1,305",GIDC Naroda | 7.8 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 322 Off,3.8, (Good),28.0,15%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Royal Apple,₹ 940,GIDC Naroda | 7.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 240 Off,4.0, (Very Good),6.0,20%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
OYO 22477 Hotel Blue Moon,"₹ 1,082",Saraspur | 8.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 267 Off,2.4,,14.0,51%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Ahmedabad,9-8-2021,11-8-2021
Hotel Radiant,₹ 982,Paldi | 70 m from Paldi Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 357 Off,3.7, (Good),76.0,6%,"['Free Parking', 'ATM', 'Vehicle Rentals']",Ahmedabad,9-8-2021,11-8-2021
OYO 14211 Laxmi Palace,"₹ 1,180",Nava Naroda | 10.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,3.4, (Good),41.0,51%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Atithi,₹ 685,Paldi | 140 m from Paldi Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 308 Off,3.5, (Good),69.0,11%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Siddhartha Palace,"₹ 1,409",Shahibaug | 5.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 876 Off,3.2, (Good),20.0,51%,"['Free Parking', 'Bonfire', 'Conference Room']",Ahmedabad,9-8-2021,11-8-2021
HOTEL TWILIGHT,"₹ 1,316",Near Ahmedabad Train Station | 260 m from Ahmedabad Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 336 Off,2.9,,50.0,14%,"['ATM', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Signature,₹ 764,Near Nehru Bridge | 11.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 768 Off,3.3, (Good),71.0,20%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Shanti Service Apartments,"₹ 2,068",Bodakdev | 16.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 528 Off,2.4,,7.0,6%,"['Kitchenette', 'Caretaker', 'Living Room']",Ahmedabad,9-8-2021,11-8-2021
Dudawat Hotel,₹ 770,Ashram Road | 9.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 347 Off,3.5, (Good),30.0,31%,"['Free Parking', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
OYO 11984 Hotel Peace,₹ 925,Behrampura,Exclusive Offer - HDFC Credit Card Users. Get INR 228 Off,4.0, (Very Good),1.0,6%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Safar Palace & Guest House,"₹ 1,688",Sarkhej- Okaf | 24.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 820 Off,,,,14%,"['Golf', 'Free Parking', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Atithi The Hotel,"₹ 2,199",Near Nehru Bridge | 11.3 km from Sardar Vallabhbhai Patel International Airport,,3.6, (Good),31.0,51%,"['Lounge', 'Free Parking', 'Conference Room']",Ahmedabad,9-8-2021,11-8-2021
Aaramgruh Hotel Dormitory,₹ 300,Nava Naroda | 10.0 km from Sardar Vallabhbhai Patel International Airport,,3.8, (Good),17.0,16%,"['Safe', 'Free Wi-Fi', 'Housekeeping']",Ahmedabad,9-8-2021,11-8-2021
Hotel Runway inn,₹ 628,Near Ahmedabad Airport | 2.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 218 Off,3.8, (Good),98.0,,"['Free Parking', 'ATM', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Park Annex,"₹ 2,320",Gurukul | 13.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 845 Off,5.0, (Excellent),1.0,14%,"['Kitchenette', 'Caretaker', 'Living Room']",Ahmedabad,9-8-2021,11-8-2021
Hotel Saubhagya,₹ 856,Aslali | 28.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,3.3, (Good),31.0,10%,"['Kids Play Area', 'Bakery', 'Cafe']",Ahmedabad,9-8-2021,11-8-2021
Hotel Maple Inn,"₹ 1,512",Near Nehru Bridge | 11.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 940 Off,3.7, (Good),3.0,11%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Prince Palace,₹ 718,Hatkeshwar | 15.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 250 Off,3.8, (Good),6.0,14%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel Aniket Inn,₹ 513,Odhav | 13.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 231 Off,3.2, (Good),72.0,20%,"['Kids Play Area', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
HOTEL BALWAS,₹ 839,Mirzapur | 790 m from Lal Darwaja AMTS Bus Terminus,Exclusive Offer - HDFC Credit Card Users. Get INR 414 Off,3.5, (Good),6.0,10%,"['Business Centre', 'Vehicle Rentals', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Safar Inn,₹ 814,Mirzapur | 9.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 458 Off,2.3,,4.0,14%,"['Free Parking', 'Elevator/Lift', '24-hour Room Service']",Ahmedabad,9-8-2021,11-8-2021
OYO 2286 Hotel Bridge,"₹ 1,614",Near Nehru Bridge | 11.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 399 Off,3.8, (Good),29.0,16%,"['Tours and Treks', 'Free Parking', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Sargam Palace,₹ 732,Paldi | 770 m from Paldi Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 412 Off,2.3,,15.0,19%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Raj Tilak,₹ 647,Near Nehru Bridge | 11.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 225 Off,2.0,,142.0,51%,"['Vehicle Rentals', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel The Royal Plaza,"₹ 1,692",Sarkhej Gandhinagar highway | 18.0 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 432 Off,2.7,,34.0,19%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Ahmedabad,9-8-2021,11-8-2021
HOTEL BASERA,₹ 423,Kalupur | 870 m from Ahmedabad Railway Station,,3.2, (Good),133.0,19%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Orange Inn Ahmedabad,"₹ 1,316",Sarkhej- Okaf | 21.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 336 Off,2.8,,24.0,15%,"['Free Parking', 'Business Centre', 'Conference Room']",Ahmedabad,9-8-2021,11-8-2021
Hotel Satluj Inn,₹ 599,Naroda | 8.8 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 269 Off,3.8, (Good),29.0,6%,"['Free Wi-Fi', '24-hour Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Hotel Malwa Residency,"₹ 1,128",Kankaria | 12.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 288 Off,2.7,,13.0,6%,"['Free Parking', 'ATM', 'Vehicle Rentals']",Ahmedabad,9-8-2021,11-8-2021
Hotel Apple Inn,₹ 814,Paldi | 320 m from Paldi Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 458 Off,3.2, (Good),25.0,14%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Happy Homes,"₹ 1,880",Sherkotda | 670 m from Ahmedabad Central Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 480 Off,4.0, (Very Good),21.0,6%,"['Caretaker', 'Living Room', 'Housekeeping']",Ahmedabad,9-8-2021,11-8-2021
Hotel Shanti Sadan,₹ 898,Near Nehru Bridge | 11.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 312 Off,3.3, (Good),85.0,19%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Panshikura,"₹ 1,128",Near Nehru Bridge | 11.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 287 Off,,,,6%,"['Conference Room', 'Free Wi-Fi', 'Kitchenette']",Ahmedabad,9-8-2021,11-8-2021
Hotel Blue Diamond,₹ 783,Navrangpura | 850 m from Navrangpura Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 926 Off,3.9, (Good),12.0,10%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel Suvidha,₹ 692,Kalupur | 710 m from Ahmedabad Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 311 Off,4.0, (Very Good),3.0,6%,"['Conference Room', 'Vehicle Rentals', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Bhagya,₹ 856,Near Nehru Bridge | 11.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,2.6,,16.0,35%,"['Lounge', 'Lawn', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Deep Palace,₹ 616,Khokhra | 12.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 277 Off,3.3, (Good),18.0,27%,"['Outdoor Sports', 'Free Parking', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Palm Residency,₹ 853,Odhav | 14.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 297 Off,3.5, (Good),11.0,14%,"['Free Parking', 'ATM', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Lavish Bungalow in posh area,"₹ 4,500",Memnagar | 13.2 km from Sardar Vallabhbhai Patel International Airport,,2.8,,4.0,23%,"['Kitchenette', 'Caretaker', 'Living Room']",Ahmedabad,9-8-2021,11-8-2021
Hotel Alpha,₹ 839,Paldi | 470 m from Paldi Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 378 Off,3.0, (Good),5.0,10%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
OYO 29992 Hotel Shreeji Palace,₹ 815,Near Nehru Bridge | 10.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 201 Off,,,,10%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
The Service Apartment,"₹ 1,222",Mumatpura | 18.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 502 Off,4.0, (Very Good),2.0,14%,"['Lounge', 'Conference Room', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel Krishna Palace.,"₹ 1,346",GIDC Naroda | 8.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1043 Off,3.2, (Good),30.0,51%,"['Air Conditioning', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Hotel Oasis,"₹ 2,590",Navrangpura | 920 m from Navrangpura Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 661 Off,,,,13%,"['Lounge', 'Conference Room', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Sky 2,"₹ 1,194",Ramol | 19.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 742 Off,3.3, (Good),8.0,25%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Rahil,₹ 463,Mirzapur | 9.4 km from Sardar Vallabhbhai Patel International Airport,,,,,11%,"['Room Service', 'Power Backup', 'Doctor on Call']",Ahmedabad,9-8-2021,11-8-2021
HOTEL VISHALA,"₹ 1,401",GIDC Naroda | 15.3 km from city centre11.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 601 Off,3.7, (Good),3.0,20%,"['Free Parking', 'Conference Room', 'Bakery']",Ahmedabad,9-8-2021,11-8-2021
Hotel Delux,₹ 732,Bhadra | 9.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 412 Off,2.8,,19.0,23%,"['Air Conditioning', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Hotel Shree Sai Palace,₹ 705,Nikol | 14.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 180 Off,4.4, (Very Good),5.0,14%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
HOTEL HOST INN.,"₹ 1,831",Near Nehru Bridge | 9.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1138 Off,2.0,,8.0,19%,"['Lounge', 'Butler Services', 'Free Parking']",Ahmedabad,9-8-2021,11-8-2021
OYO 27031 Hotel Maan Palace,"₹ 1,180",Chandkheda | 10.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,3.7, (Good),9.0,6%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Jasraj,₹ 752,Madhupura | 7.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 192 Off,3.3, (Good),108.0,20%,"['Lounge', 'Room Service', 'Restaurant']",Ahmedabad,9-8-2021,11-8-2021
Hotel Sunlight,"₹ 1,098",Paldi | 46 m from Paldi Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 533 Off,1.8,,6.0,51%,"['Lounge', 'Free Parking', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Aman Guest House,₹ 987,Sarkhej Gandhinagar highway | 20.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 251 Off,1.3,,3.0,6%,"['ATM', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Mony,"₹ 1,266",Narolgam | 15.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 615 Off,3.0, (Good),1.0,16%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Royal Blue,"₹ 1,013",Science City | 15.2 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 492 Off,3.7, (Good),7.0,9%,"['Bakery', 'ATM', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Sagar Residency (Guest House),₹ 770,Shastri Nagar | 13.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 347 Off,2.0,,5.0,16%,"['Free Wi-Fi', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Hotel Kalyan Guest House,₹ 771,Jamalpur | 12.0 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 347 Off,3.4, (Good),17.0,16%,"['Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Hotel Suryam,"₹ 1,071",Odhav | 16.0 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 390 Off,2.1,,11.0,14%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Hotel Rolex,₹ 814,Nava Naroda | 11.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 458 Off,5.0, (Excellent),1.0,14%,"['Vehicle Rentals', 'Childcare Services', 'Free Wi-Fi']",Ahmedabad,9-8-2021,11-8-2021
Anmol service apartment,"₹ 2,820",Ambawadi | 14.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,2.3,,4.0,11%,"['Doctor on Call', 'Kitchenette', 'Caretaker']",Ahmedabad,9-8-2021,11-8-2021
OYO 72486 Hotel Gokul Villa,"₹ 1,082",Old Wadaj | 8.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 267 Off,2.9,,9.0,19%,"['Free Wi-Fi', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Hotel Sun Shine,"₹ 1,504",Sola Village | 15.5 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 383 Off,,,,6%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel Ashray,"₹ 1,013",Near Nehru Bridge | 11.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 492 Off,4.0, (Very Good),2.0,51%,"['Air Conditioning', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Hotel Anand Palace,"₹ 1,393",Vinoba Bhave Nagar | 23.0 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 676 Off,2.0,,59.0,6%,"['Doctor on Call', 'Room Service', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel Mayur,₹ 599,Kankaria | 11.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 269 Off,2.9,,9.0,16%,"['Free Parking', 'Conference Room', 'Kitchenette']",Ahmedabad,9-8-2021,11-8-2021
OYO 66904 Hotel Laxmi Villa,"₹ 1,549",Narolgam | 15.8 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 383 Off,3.0, (Good),1.0,16%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Sarovar Inn,₹ 770,Near Ahmedabad Airport | 1.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 347 Off,2.4,,11.0,14%,"['Kitchenette', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Venus,₹ 856,Chandkheda | 12.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 386 Off,5.0, (Excellent),1.0,51%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
HOTEL GAGAN PALACE,₹ 524,Changodar | 26.6 km from city centre29.4 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 214 Off,1.3,,4.0,14%,"['Free Parking', '24-hour Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
OYO 69381 Hotel Ganesh Inn,₹ 984,Sarkhej Gandhinagar highway | 15.0 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 243 Off,3.0, (Good),2.0,14%,"['Free Wi-Fi', 'Room Service', 'Power Backup']",Ahmedabad,9-8-2021,11-8-2021
Hotel Meet Palace.,"₹ 1,128",Navrangpura | 9.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 288 Off,3.0, (Good),1.0,13%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Shekhawat palace,"₹ 1,064",Nava Naroda | 10.1 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 516 Off,1.0,,1.0,51%,"['Free Parking', 'Kitchenette', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
Hotel Parth Palace,"₹ 1,128",Bapunagar | 10.7 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 288 Off,,,,6%,"['Vehicle Rentals', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
HOTEL SARVAGYA,"₹ 1,222",Navrangpura | 10.9 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 311 Off,,,,62%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
Hotel Govindam,"₹ 1,880",Dudeshwar | 7.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 480 Off,3.4, (Good),27.0,6%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Ahmedabad,9-8-2021,11-8-2021
"Hotel Tulip Plaza , Ahmedabad.",₹ 881,Saraspur | 10.3 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 341 Off,,,,6%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Ahmedabad,9-8-2021,11-8-2021
Hotel Shree Krishna Palace,₹ 693,D Colony | 9.6 km from Sardar Vallabhbhai Patel International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 312 Off,,,,6%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Ahmedabad,9-8-2021,11-8-2021
